item_id,name,category,effect,sprite
1,master-ball,standard-balls,"Used in battle
:   Catches a wild Pokémon without fail.

    If used in a trainer battle, nothing happens and the ball is lost.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/master-ball.png
2,ultra-ball,standard-balls,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 2×.

    If used in a trainer battle, nothing happens and the ball is lost.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/ultra-ball.png
3,great-ball,standard-balls,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 1.5×.

    If used in a trainer battle, nothing happens and the ball is lost.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/great-ball.png
4,poke-ball,standard-balls,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/poke-ball.png
5,safari-ball,standard-balls,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 1.5×.

This item can only be used in the great marsh or kanto safari zone.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/safari-ball.png
6,net-ball,special-balls,"Used in battle
:   Attempts to catch a wild Pokémon.  If the wild Pokémon is water- or bug-type, this ball has a catch rate of 3×.  Otherwise, it has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/net-ball.png
7,dive-ball,special-balls,"Used in battle
:   Attempts to catch a wild Pokémon.  If the wild Pokémon was encountered by surfing or fishing, this ball has a catch rate of 3.5×.  Otherwise, it has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/dive-ball.png
8,nest-ball,special-balls,"Used in battle
:   Attempts to catch a wild Pokémon.  Has a catch rate of given by `(40 - level) / 10`, where `level` is the wild Pokémon’s level, to a maximum of 3.9× for level 1 Pokémon.  If the wild Pokémon’s level is higher than 30, this ball has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/nest-ball.png
9,repeat-ball,special-balls,"Used in battle
:   Attempts to catch a wild Pokémon.  If the wild Pokémon’s species is marked as caught in the trainer’s Pokédex, this ball has a catch rate of 3×.  Otherwise, it has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/repeat-ball.png
10,timer-ball,special-balls,"Used in battle
:   Attempts to catch a wild Pokémon.  Has a catch rate of 1.1× on the first turn of the battle and increases by 0.1× every turn, to a maximum of 4× on turn 30.

    If used in a trainer battle, nothing happens and the ball is lost.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/timer-ball.png
11,luxury-ball,special-balls,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 1×.  Whenever the caught Pokémon’s happiness increases, it increases by one extra point.

    If used in a trainer battle, nothing happens and the ball is lost.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/luxury-ball.png
12,premier-ball,special-balls,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/premier-ball.png
13,dusk-ball,special-balls,"Used in battle
:   Attempts to catch a wild Pokémon.  If it’s currently nighttime or the wild Pokémon was encountered while walking in a cave, this ball has a catch rate of 3.5×.  Otherwise, it has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/dusk-ball.png
14,heal-ball,special-balls,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 1×.  The caught Pokémon’s HP is immediately restored, PP for all its moves is restored, and any status ailment is cured.

    If used in a trainer battle, nothing happens and the ball is lost.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/heal-ball.png
15,quick-ball,special-balls,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 4× on the first turn of a battle, but 1× any other time.

    If used in a trainer battle, nothing happens and the ball is lost.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/quick-ball.png
16,cherish-ball,special-balls,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/cherish-ball.png
17,potion,healing,"Used on a friendly Pokémon
:   Restores 20 HP.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/potion.png
18,antidote,status-cures,"Used on a party Pokémon
:   Cures poison.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/antidote.png
19,burn-heal,status-cures,"Used on a party Pokémon
:   Cures a burn.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/burn-heal.png
20,ice-heal,status-cures,"Used on a party Pokémon
:   Cures freezing.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/ice-heal.png
21,awakening,status-cures,"Used on a party Pokémon
:   Cures sleep.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/awakening.png
22,paralyze-heal,status-cures,"Used on a party Pokémon
:   Cures paralysis.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/paralyze-heal.png
