pokemon_id,name,location_area,location,region,generation
1,bulbasaur,cerulean-city-area,cerulean-city,kanto,1
1,bulbasaur,pallet-town-area,pallet-town,kanto,1
1,bulbasaur,lumiose-city-area,lumiose-city,kalos,1
1,bulbasaur,alola-route-2-main,alola-route-2,alola,1
4,charmander,pallet-town-area,pallet-town,kanto,1
4,charmander,kanto-route-24-area,kanto-route-24,kanto,1
4,charmander,lumiose-city-area,lumiose-city,kalos,1
4,charmander,alola-route-3-main,alola-route-3,alola,1
7,squirtle,vermilion-city-area,vermilion-city,kanto,1
7,squirtle,pallet-town-area,pallet-town,kanto,1
7,squirtle,lumiose-city-area,lumiose-city,kalos,1
7,squirtle,seaward-cave-area,seaward-cave,alola,1
10,caterpie,eterna-forest-area,eterna-forest,sinnoh,1
10,caterpie,sinnoh-route-204-south-towards-jubilife-city,sinnoh-route-204,sinnoh,1
10,caterpie,sinnoh-route-204-north-towards-floaroma-town,sinnoh-route-204,sinnoh,1
10,caterpie,johto-route-30-area,johto-route-30,johto,1
10,caterpie,johto-route-31-area,johto-route-31,johto,1
10,caterpie,ilex-forest-area,ilex-forest,johto,1
10,caterpie,johto-route-34-area,johto-route-34,johto,1
10,caterpie,johto-route-35-area,johto-route-35,johto,1
10,caterpie,national-park-area,national-park,johto,1
10,caterpie,unknown-all-bugs-area,unknown-all-bugs,johto,1
10,caterpie,johto-route-36-area,johto-route-36,johto,1
10,caterpie,johto-route-37-area,johto-route-37,johto,1
10,caterpie,johto-route-38-area,johto-route-38,johto,1
10,caterpie,johto-route-39-area,johto-route-39,johto,1
10,caterpie,lake-of-rage-area,lake-of-rage,johto,1
10,caterpie,kanto-route-26-area,kanto-route-26,kanto,1
10,caterpie,kanto-route-27-area,kanto-route-27,kanto,1
10,caterpie,kanto-route-2-south-towards-viridian-city,kanto-route-2,kanto,1
10,caterpie,kanto-route-24-area,kanto-route-24,kanto,1
10,caterpie,kanto-route-25-area,kanto-route-25,kanto,1
10,caterpie,kanto-route-2-north-towards-pewter-city,kanto-route-2,kanto,1
